date,forecast_best,Product Name
2024-01-02,7.133007167169834,Classic Leather Bag
2024-01-03,4.842041978697296,Classic Leather Bag
2024-01-04,3.711142537666035,Classic Leather Bag
2024-01-05,9.273131184898128,Classic Leather Bag
2024-01-06,6.245423235179685,Classic Leather Bag
2024-01-07,1.0032454708747314,Classic Leather Bag
2024-01-08,2.9317061824462938,Classic Leather Bag
2024-01-09,4.712927143464551,Classic Leather Bag
2024-01-10,9.288573154028384,Classic Leather Bag
2024-01-11,1.4443630000837349,Classic Leather Bag
2024-01-12,2.1187438721126197,Classic Leather Bag
2024-01-13,4.046315257343784,Classic Leather Bag
2024-01-14,9.215912624246974,Classic Leather Bag
2024-01-15,8.381486544511848,Classic Leather Bag
2024-01-16,9.529970660443785,Classic Leather Bag
2024-01-17,1.657382790785135,Classic Leather Bag
2024-01-18,4.334189348730531,Classic Leather Bag
2024-01-19,5.022256711083169,Classic Leather Bag
2024-01-20,9.606133943738689,Classic Leather Bag
2024-01-21,5.961422854708115,Classic Leather Bag
2024-01-22,3.693359060462256,Classic Leather Bag
2024-01-23,4.396088713995977,Classic Leather Bag
2024-01-24,8.627945338588537,Classic Leather Bag
2024-01-25,4.8719591961163005,Classic Leather Bag
2024-01-26,9.031776854758643,Classic Leather Bag
2024-01-27,9.391397716988932,Classic Leather Bag
2024-01-28,6.9696538683846585,Classic Leather Bag
2024-01-29,5.572267968949239,Classic Leather Bag
2024-01-30,2.5383816663253302,Classic Leather Bag
2024-01-31,3.2166016653254648,Classic Leather Bag
2024-01-02,5.298716806481782,Travel Backpack
2024-01-03,1.8459316503383603,Travel Backpack
2024-01-04,2.0581551183539553,Travel Backpack
2024-01-05,6.242674633685474,Travel Backpack
2024-01-06,2.267279819578385,Travel Backpack
2024-01-07,1.1218091675719941,Travel Backpack
2024-01-08,1.0644189458628919,Travel Backpack
2024-01-09,3.2098089249352375,Travel Backpack
2024-01-10,6.260339765677977,Travel Backpack
2024-01-11,9.1191184573322,Travel Backpack
2024-01-12,1.7170287617925986,Travel Backpack
2024-01-13,9.057326852798672,Travel Backpack
2024-01-14,4.261786492032673,Travel Backpack
2024-01-15,3.1003032571315,Travel Backpack
2024-01-16,8.055009369090566,Travel Backpack
2024-01-17,8.105593054301877,Travel Backpack
2024-01-18,3.572199547098477,Travel Backpack
2024-01-19,6.521828760507005,Travel Backpack
2024-01-20,5.590928843829266,Travel Backpack
2024-01-21,1.5209253963299483,Travel Backpack
2024-01-22,4.665369394713601,Travel Backpack
2024-01-23,6.562920691318091,Travel Backpack
2024-01-24,3.8984643407450488,Travel Backpack
2024-01-25,3.7539425155635766,Travel Backpack
2024-01-26,4.366709482340973,Travel Backpack
2024-01-27,8.74956338850708,Travel Backpack
2024-01-28,2.9523363734829826,Travel Backpack
2024-01-29,4.835427620191371,Travel Backpack
